ts,tomcat_busy,tomcat_current,hikari_active,hikari_pending,hikari_timeout,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-21T19:16:27Z,,,,,,,11,2
2026-04-21T19:16:32Z,,,,,,,11,2
2026-04-21T19:16:39Z,,,,,,,11,2
2026-04-21T19:16:44Z,,,,,,,11,4
2026-04-21T19:16:50Z,,,,,,,11,3
2026-04-21T19:16:56Z,,,,,,,11,3
2026-04-21T19:17:03Z,,,,,,,11,3
2026-04-21T19:17:08Z,,,,,,,11,4
2026-04-21T19:17:14Z,,,,,,,11,4
2026-04-21T19:17:19Z,,,,,,,11,2
2026-04-21T19:17:25Z,,,,,,,11,3
2026-04-21T19:17:30Z,,,,,,,11,3
2026-04-21T19:17:36Z,,,,,,,11,3
2026-04-21T19:17:42Z,,,,,,,11,4
2026-04-21T19:17:47Z,,,,,,,11,3
2026-04-21T19:17:54Z,,,,,,,11,3
2026-04-21T19:17:59Z,,,,,,,11,5
2026-04-21T19:18:05Z,,,,,,,11,3
2026-04-21T19:18:11Z,,,,,,,11,4
2026-04-21T19:18:17Z,,,,,,,11,5
2026-04-21T19:18:22Z,,,,,,,11,5
2026-04-21T19:18:28Z,,,,,,,11,6
2026-04-21T19:18:34Z,,,,,,,11,6
2026-04-21T19:18:40Z,,,,,,,11,5
2026-04-21T19:18:46Z,,,,,,,11,3
2026-04-21T19:19:19Z,,,,,,,11,4
2026-04-21T19:19:25Z,,,,,,,11,4
2026-04-21T19:19:31Z,,,,,,,11,2
2026-04-21T19:19:37Z,,,,,,,11,5
2026-04-21T19:19:43Z,,,,,,,11,2
2026-04-21T19:19:49Z,,,,,,,11,3
2026-04-21T19:19:54Z,,,,,,,11,6
2026-04-21T19:20:00Z,,,,,,,11,2
2026-04-21T19:20:06Z,,,,,,,11,2
2026-04-21T19:20:11Z,,,,,,,11,5
2026-04-21T19:20:17Z,,,,,,,11,4
2026-04-21T19:20:23Z,,,,,,,11,2
2026-04-21T19:20:28Z,,,,,,,11,5
2026-04-21T19:20:34Z,,,,,,,11,3
2026-04-21T19:20:40Z,,,,,,,11,4
2026-04-21T19:20:46Z,,,,,,,11,4
2026-04-21T19:20:51Z,,,,,,,11,2
2026-04-21T19:20:57Z,,,,,,,11,2
2026-04-21T19:21:03Z,,,,,,,11,3
2026-04-21T19:21:09Z,,,,,,,11,2
2026-04-21T19:21:15Z,,,,,,,11,3
2026-04-21T19:21:20Z,,,,,,,11,3
2026-04-21T19:21:26Z,,,,,,,11,4
2026-04-21T19:21:32Z,,,,,,,11,3
2026-04-21T19:21:37Z,,,,,,,11,4
2026-04-21T19:21:43Z,,,,,,,11,3
2026-04-21T19:21:49Z,,,,,,,11,4
2026-04-21T19:21:55Z,,,,,,,11,3
2026-04-21T19:22:01Z,,,,,,,11,4
2026-04-21T19:22:06Z,,,,,,,11,4
2026-04-21T19:22:12Z,,,,,,,11,3
2026-04-21T19:22:18Z,,,,,,,11,4
2026-04-21T19:22:24Z,,,,,,,11,2
2026-04-21T19:22:30Z,,,,,,,11,2
2026-04-21T19:22:36Z,,,,,,,11,5
2026-04-21T19:22:42Z,,,,,,,11,6
2026-04-21T19:22:47Z,,,,,,,11,2
2026-04-21T19:22:53Z,,,,,,,11,4
2026-04-21T19:22:59Z,,,,,,,11,4
2026-04-21T19:23:05Z,,,,,,,11,4
2026-04-21T19:23:11Z,,,,,,,11,2
2026-04-21T19:23:17Z,,,,,,,11,2
2026-04-21T19:23:23Z,,,,,,,11,5
2026-04-21T19:23:29Z,,,,,,,11,3
2026-04-21T19:23:34Z,,,,,,,11,3
2026-04-21T19:23:40Z,,,,,,,11,5
2026-04-21T19:23:46Z,,,,,,,11,6
2026-04-21T19:23:51Z,,,,,,,11,2
2026-04-21T19:23:57Z,,,,,,,11,3
2026-04-21T19:24:03Z,,,,,,,11,3
2026-04-21T19:24:09Z,,,,,,,11,3
2026-04-21T19:24:15Z,,,,,,,11,6
2026-04-21T19:24:20Z,,,,,,,11,3
2026-04-21T19:24:26Z,,,,,,,11,3
2026-04-21T19:24:32Z,,,,,,,11,2
2026-04-21T19:24:38Z,,,,,,,11,4
2026-04-21T19:24:44Z,,,,,,,11,3
2026-04-21T19:24:50Z,,,,,,,11,2
2026-04-21T19:24:56Z,,,,,,,11,3
