ts,tomcat_busy,tomcat_current,hikari_active,hikari_pending,hikari_timeout,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-22T14:21:46Z,,,,,,,11,2
2026-04-22T14:25:48Z,,,,,,,11,2
2026-04-22T14:26:47Z,,,,,,,11,2
2026-04-22T14:26:53Z,,,,,,,11,2
2026-04-22T14:26:58Z,,,,,,,11,2
2026-04-22T14:27:04Z,,,,,,,11,2
2026-04-22T14:27:10Z,,,,,,,11,2
2026-04-22T14:27:19Z,,,,,,,11,2
2026-04-22T14:27:25Z,,,,,,,11,2
2026-04-22T14:27:31Z,,,,,,,11,2
2026-04-22T14:27:36Z,,,,,,,11,2
2026-04-22T14:27:41Z,,,,,,,11,2
2026-04-22T14:27:47Z,,,,,,,11,2
2026-04-22T14:27:52Z,,,,,,,11,2
2026-04-22T14:28:00Z,,,,,,,11,2
2026-04-22T14:28:06Z,,,,,,,11,2
2026-04-22T14:30:42Z,,,,,,,11,2
2026-04-22T14:30:48Z,,,,,,,11,2
2026-04-22T14:30:55Z,,,,,,,11,2
2026-04-22T14:31:01Z,,,,,,,11,2
2026-04-22T14:31:07Z,,,,,,,11,2
2026-04-22T14:31:12Z,,,,,,,11,2
2026-04-22T14:31:18Z,,,,,,,11,2
2026-04-22T14:31:23Z,,,,,,,11,2
2026-04-22T14:31:29Z,,,,,,,11,2
2026-04-22T14:31:35Z,,,,,,,11,2
2026-04-22T14:31:41Z,,,,,,,11,2
2026-04-22T14:31:46Z,,,,,,,11,2
2026-04-22T14:31:52Z,,,,,,,11,2
2026-04-22T14:31:59Z,,,,,,,11,2
2026-04-22T14:32:04Z,,,,,,,11,2
2026-04-22T14:32:10Z,,,,,,,11,2
2026-04-22T14:32:15Z,,,,,,,11,2
2026-04-22T14:32:20Z,,,,,,,11,3
2026-04-22T14:32:26Z,,,,,,,11,2
2026-04-22T14:32:32Z,,,,,,,11,2
2026-04-22T14:32:38Z,,,,,,,11,2
2026-04-22T14:32:43Z,,,,,,,11,2
2026-04-22T14:32:50Z,,,,,,,11,2
2026-04-22T14:32:55Z,,,,,,,11,2
2026-04-22T14:33:01Z,,,,,,,11,2
2026-04-22T14:33:06Z,,,,,,,11,4
2026-04-22T14:33:12Z,,,,,,,11,2
2026-04-22T14:33:18Z,,,,,,,11,2
2026-04-22T14:33:26Z,,,,,,,11,2
2026-04-22T14:33:31Z,,,,,,,11,2
2026-04-22T14:33:36Z,,,,,,,11,2
2026-04-22T14:33:42Z,,,,,,,11,2
2026-04-22T14:33:47Z,,,,,,,11,2
2026-04-22T14:33:53Z,,,,,,,11,2
2026-04-22T14:33:58Z,,,,,,,11,2
2026-04-22T14:34:05Z,,,,,,,11,2
2026-04-22T14:34:10Z,,,,,,,11,2
2026-04-22T14:34:16Z,,,,,,,11,2
2026-04-22T14:34:21Z,,,,,,,11,2
2026-04-22T14:34:27Z,,,,,,,11,2
2026-04-22T14:34:32Z,,,,,,,11,2
2026-04-22T14:34:38Z,,,,,,,11,2
2026-04-22T14:34:44Z,,,,,,,11,2
2026-04-22T14:34:49Z,,,,,,,11,2
2026-04-22T14:35:43Z,,,,,,,11,2
2026-04-22T14:35:50Z,,,,,,,11,5
2026-04-22T14:35:55Z,,,,,,,11,2
2026-04-22T14:36:01Z,,,,,,,11,2
2026-04-22T14:36:06Z,,,,,,,11,2
2026-04-22T14:36:12Z,,,,,,,11,2
2026-04-22T14:36:17Z,,,,,,,11,5
2026-04-22T14:36:23Z,,,,,,,11,2
2026-04-22T14:36:28Z,,,,,,,11,2
2026-04-22T14:36:34Z,,,,,,,11,2
2026-04-22T14:36:40Z,,,,,,,11,3
2026-04-22T14:36:45Z,,,,,,,11,2
2026-04-22T14:36:52Z,,,,,,,11,2
2026-04-22T14:36:57Z,,,,,,,11,2
2026-04-22T14:37:03Z,,,,,,,11,2
2026-04-22T14:37:09Z,,,,,,,11,2
2026-04-22T14:37:15Z,,,,,,,11,2
2026-04-22T14:37:20Z,,,,,,,11,2
2026-04-22T14:38:50Z,,,,,,,11,2
2026-04-22T14:38:56Z,,,,,,,11,2
2026-04-22T14:39:02Z,,,,,,,11,2
2026-04-22T14:39:08Z,,,,,,,11,2
2026-04-22T14:39:14Z,,,,,,,11,2
2026-04-22T14:39:19Z,,,,,,,11,2
2026-04-22T14:39:25Z,,,,,,,11,2
2026-04-22T14:39:30Z,,,,,,,11,2
2026-04-22T14:39:36Z,,,,,,,11,2
2026-04-22T14:39:42Z,,,,,,,11,2
2026-04-22T14:39:48Z,,,,,,,11,2
2026-04-22T14:39:53Z,,,,,,,11,2
2026-04-22T14:39:59Z,,,,,,,11,2
2026-04-22T14:40:04Z,,,,,,,11,2
2026-04-22T14:40:10Z,,,,,,,11,2
2026-04-22T14:40:15Z,,,,,,,11,2
2026-04-22T14:40:21Z,,,,,,,11,2
2026-04-22T14:40:26Z,,,,,,,11,2
2026-04-22T14:40:32Z,,,,,,,11,2
2026-04-22T14:40:38Z,,,,,,,11,2
2026-04-22T14:40:44Z,,,,,,,11,2
2026-04-22T14:40:50Z,,,,,,,11,2
2026-04-22T14:40:56Z,,,,,,,11,2
2026-04-22T14:41:01Z,,,,,,,11,2
2026-04-22T14:41:07Z,,,,,,,11,2
2026-04-22T14:41:12Z,,,,,,,11,4
2026-04-22T14:41:18Z,,,,,,,11,2
2026-04-22T14:41:23Z,,,,,,,11,3
2026-04-22T14:41:29Z,,,,,,,11,2
2026-04-22T14:41:35Z,,,,,,,11,2
2026-04-22T14:41:40Z,,,,,,,11,2
2026-04-22T14:41:46Z,,,,,,,11,2
2026-04-22T14:41:51Z,,,,,,,11,2
2026-04-22T14:41:57Z,,,,,,,11,2
2026-04-22T14:42:02Z,,,,,,,11,2
2026-04-22T14:42:08Z,,,,,,,11,3
2026-04-22T14:42:13Z,,,,,,,11,2
2026-04-22T14:42:18Z,,,,,,,11,2
2026-04-22T14:42:24Z,,,,,,,11,2
2026-04-22T14:42:30Z,,,,,,,11,2
2026-04-22T14:42:36Z,,,,,,,11,2
2026-04-22T14:42:41Z,,,,,,,11,2
2026-04-22T14:42:47Z,,,,,,,11,2
2026-04-22T14:42:53Z,,,,,,,11,2
2026-04-22T14:42:59Z,,,,,,,11,3
2026-04-22T14:43:05Z,,,,,,,11,3
2026-04-22T14:43:10Z,,,,,,,11,2
2026-04-22T14:43:16Z,,,,,,,11,2
2026-04-22T14:43:21Z,,,,,,,11,2
2026-04-22T14:43:27Z,,,,,,,11,2
2026-04-22T14:43:32Z,,,,,,,11,2
2026-04-22T14:43:38Z,,,,,,,11,2
2026-04-22T14:43:43Z,,,,,,,11,2
2026-04-22T14:43:49Z,,,,,,,11,2
2026-04-22T14:43:54Z,,,,,,,11,2
2026-04-22T14:44:00Z,,,,,,,11,2
2026-04-22T14:44:06Z,,,,,,,11,2
2026-04-22T14:44:12Z,,,,,,,11,2
2026-04-22T14:44:17Z,,,,,,,11,2
2026-04-22T14:46:38Z,,,,,,,11,2
2026-04-22T14:46:44Z,,,,,,,11,2
2026-04-22T14:46:49Z,,,,,,,11,2
