ts,tomcat_busy,tomcat_current,hikari_active,hikari_pending,hikari_timeout,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-22T14:48:13Z,,,,,,,12,3
2026-04-22T14:49:18Z,,,,,,,11,2
2026-04-22T14:49:24Z,,,,,,,11,2
2026-04-22T14:49:30Z,,,,,,,11,2
2026-04-22T14:49:40Z,,,,,,,11,2
2026-04-22T14:49:47Z,,,,,,,11,2
2026-04-22T14:49:55Z,,,,,,,11,2
2026-04-22T14:50:01Z,,,,,,,11,2
2026-04-22T14:50:07Z,,,,,,,11,2
2026-04-22T14:50:12Z,,,,,,,11,2
2026-04-22T14:50:19Z,,,,,,,11,2
2026-04-22T14:50:25Z,,,,,,,11,2
2026-04-22T14:50:31Z,,,,,,,11,2
2026-04-22T14:50:36Z,,,,,,,11,2
2026-04-22T14:50:42Z,,,,,,,11,2
2026-04-22T14:50:48Z,,,,,,,11,2
2026-04-22T14:50:53Z,,,,,,,11,2
2026-04-22T14:50:59Z,,,,,,,11,2
2026-04-22T14:51:04Z,,,,,,,11,2
2026-04-22T14:51:10Z,,,,,,,11,2
2026-04-22T14:51:15Z,,,,,,,11,2
2026-04-22T14:51:21Z,,,,,,,11,2
2026-04-22T14:51:26Z,,,,,,,11,2
2026-04-22T14:51:32Z,,,,,,,11,2
2026-04-22T14:51:38Z,,,,,,,11,2
2026-04-22T14:51:56Z,,,,,,,11,2
2026-04-22T14:52:04Z,,,,,,,11,2
2026-04-22T14:52:11Z,,,,,,,11,2
2026-04-22T14:52:17Z,,,,,,,11,2
2026-04-22T14:52:22Z,,,,,,,11,2
2026-04-22T14:52:28Z,,,,,,,11,2
2026-04-22T14:52:34Z,,,,,,,11,2
2026-04-22T14:52:40Z,,,,,,,11,2
2026-04-22T14:52:46Z,,,,,,,11,2
2026-04-22T14:52:51Z,,,,,,,11,2
2026-04-22T14:52:57Z,,,,,,,11,2
2026-04-22T14:53:04Z,,,,,,,11,2
2026-04-22T14:53:10Z,,,,,,,11,2
2026-04-22T14:53:16Z,,,,,,,11,2
2026-04-22T14:53:23Z,,,,,,,11,2
2026-04-22T14:55:34Z,,,,,,,11,2
2026-04-22T14:55:40Z,,,,,,,11,2
2026-04-22T14:55:46Z,,,,,,,11,2
2026-04-22T14:55:52Z,,,,,,,11,2
2026-04-22T14:55:59Z,,,,,,,11,2
2026-04-22T14:56:04Z,,,,,,,11,2
2026-04-22T14:56:10Z,,,,,,,11,2
2026-04-22T14:56:16Z,,,,,,,11,2
2026-04-22T14:56:22Z,,,,,,,11,2
2026-04-22T14:56:27Z,,,,,,,11,2
2026-04-22T14:56:35Z,,,,,,,11,2
2026-04-22T14:56:41Z,,,,,,,11,2
2026-04-22T14:56:48Z,,,,,,,11,2
2026-04-22T14:56:53Z,,,,,,,11,2
2026-04-22T14:56:59Z,,,,,,,11,2
2026-04-22T14:57:05Z,,,,,,,11,2
2026-04-22T14:57:10Z,,,,,,,11,2
2026-04-22T14:57:16Z,,,,,,,11,2
2026-04-22T14:57:22Z,,,,,,,11,2
2026-04-22T14:57:28Z,,,,,,,11,2
2026-04-22T14:57:34Z,,,,,,,11,2
2026-04-22T14:57:40Z,,,,,,,11,2
2026-04-22T14:57:45Z,,,,,,,11,2
2026-04-22T14:57:51Z,,,,,,,11,2
2026-04-22T14:57:57Z,,,,,,,11,2
2026-04-22T14:58:02Z,,,,,,,11,2
2026-04-22T14:58:08Z,,,,,,,11,2
2026-04-22T14:58:14Z,,,,,,,11,2
2026-04-22T14:58:20Z,,,,,,,11,2
2026-04-22T14:58:26Z,,,,,,,11,2
2026-04-22T14:58:31Z,,,,,,,11,2
2026-04-22T14:59:52Z,,,,,,,11,2
2026-04-22T14:59:58Z,,,,,,,11,2
2026-04-22T15:00:04Z,,,,,,,11,2
2026-04-22T15:00:10Z,,,,,,,11,2
2026-04-22T15:00:16Z,,,,,,,11,2
2026-04-22T15:00:22Z,,,,,,,11,2
2026-04-22T15:00:28Z,,,,,,,11,2
2026-04-22T15:00:34Z,,,,,,,11,2
2026-04-22T15:00:39Z,,,,,,,11,2
2026-04-22T15:00:45Z,,,,,,,11,2
2026-04-22T15:00:51Z,,,,,,,11,2
2026-04-22T15:00:56Z,,,,,,,11,2
2026-04-22T15:01:02Z,,,,,,,11,2
2026-04-22T15:01:07Z,,,,,,,11,2
2026-04-22T15:01:14Z,,,,,,,11,2
2026-04-22T15:01:20Z,,,,,,,11,2
2026-04-22T15:01:25Z,,,,,,,11,2
2026-04-22T15:01:31Z,,,,,,,11,2
2026-04-22T15:01:37Z,,,,,,,11,2
2026-04-22T15:01:42Z,,,,,,,11,2
2026-04-22T15:01:48Z,,,,,,,11,2
2026-04-22T15:01:53Z,,,,,,,11,2
2026-04-22T15:01:59Z,,,,,,,11,2
2026-04-22T15:02:05Z,,,,,,,11,2
2026-04-22T15:02:11Z,,,,,,,11,2
2026-04-22T15:02:17Z,,,,,,,11,2
2026-04-22T15:02:22Z,,,,,,,11,2
2026-04-22T15:02:28Z,,,,,,,11,2
2026-04-22T15:02:33Z,,,,,,,11,2
2026-04-22T15:02:39Z,,,,,,,11,2
2026-04-22T15:02:45Z,,,,,,,11,2
2026-04-22T15:02:51Z,,,,,,,11,2
2026-04-22T15:02:56Z,,,,,,,11,2
2026-04-22T15:03:01Z,,,,,,,11,2
2026-04-22T15:03:07Z,,,,,,,11,2
2026-04-22T15:03:13Z,,,,,,,11,2
2026-04-22T15:03:19Z,,,,,,,11,2
2026-04-22T15:03:25Z,,,,,,,11,2
2026-04-22T15:03:30Z,,,,,,,11,2
2026-04-22T15:03:36Z,,,,,,,11,2
2026-04-22T15:03:41Z,,,,,,,11,2
2026-04-22T15:03:47Z,,,,,,,11,2
2026-04-22T15:03:53Z,,,,,,,11,2
2026-04-22T15:03:59Z,,,,,,,11,2
2026-04-22T15:04:04Z,,,,,,,11,6
2026-04-22T15:04:10Z,,,,,,,11,2
2026-04-22T15:04:15Z,,,,,,,11,2
2026-04-22T15:04:21Z,,,,,,,11,2
2026-04-22T15:04:26Z,,,,,,,11,2
2026-04-22T15:04:31Z,,,,,,,11,2
2026-04-22T15:04:37Z,,,,,,,11,2
2026-04-22T15:04:43Z,,,,,,,11,2
2026-04-22T15:04:49Z,,,,,,,11,2
2026-04-22T15:04:55Z,,,,,,,11,2
2026-04-22T15:05:00Z,,,,,,,11,2
2026-04-22T15:05:06Z,,,,,,,11,3
2026-04-22T15:05:13Z,,,,,,,11,2
2026-04-22T15:05:18Z,,,,,,,11,2
2026-04-22T15:05:24Z,,,,,,,11,2
2026-04-22T15:05:31Z,,,,,,,11,2
2026-04-22T15:05:37Z,,,,,,,11,2
2026-04-22T15:05:42Z,,,,,,,11,2
2026-04-22T15:05:48Z,,,,,,,11,2
2026-04-22T15:05:53Z,,,,,,,11,2
2026-04-22T15:07:13Z,,,,,,,11,3
2026-04-22T15:07:20Z,,,,,,,11,2
2026-04-22T15:07:26Z,,,,,,,11,2
2026-04-22T15:07:31Z,,,,,,,11,2
2026-04-22T15:07:37Z,,,,,,,11,2
2026-04-22T15:07:42Z,,,,,,,11,3
2026-04-22T15:08:50Z,,,,,,,11,7
2026-04-22T15:09:08Z,,,,,,,11,2
2026-04-22T15:09:20Z,,,,,,,11,3
2026-04-22T15:09:29Z,,,,,,,11,6
2026-04-22T15:09:53Z,,,,,,,11,3
2026-04-22T15:10:12Z,,,,,,,11,2
2026-04-22T15:10:26Z,,,,,,,11,5
2026-04-22T15:10:34Z,,,,,,,11,2
2026-04-22T15:10:41Z,,,,,,,11,2
2026-04-22T15:10:47Z,,,,,,,11,2
2026-04-22T15:10:53Z,,,,,,,11,2
2026-04-22T15:10:59Z,,,,,,,11,2
2026-04-22T15:11:05Z,,,,,,,11,2
2026-04-22T15:11:10Z,,,,,,,11,2
2026-04-22T15:11:17Z,,,,,,,11,2
2026-04-22T15:11:24Z,,,,,,,11,2
2026-04-22T15:11:32Z,,,,,,,11,3
2026-04-22T15:11:38Z,,,,,,,11,2
2026-04-22T15:11:43Z,,,,,,,11,2
2026-04-22T15:11:50Z,,,,,,,11,2
2026-04-22T15:12:04Z,,,,,,,11,2
2026-04-22T15:12:16Z,,,,,,,11,2
2026-04-22T15:12:23Z,,,,,,,11,2
2026-04-22T15:12:30Z,,,,,,,11,2
2026-04-22T15:12:36Z,,,,,,,11,2
2026-04-22T15:12:42Z,,,,,,,11,2
2026-04-22T15:12:48Z,,,,,,,11,2
2026-04-22T15:12:54Z,,,,,,,11,2
2026-04-22T15:13:00Z,,,,,,,11,2
2026-04-22T15:13:05Z,,,,,,,11,2
2026-04-22T15:13:11Z,,,,,,,11,2
2026-04-22T15:13:17Z,,,,,,,11,2
2026-04-22T15:13:22Z,,,,,,,11,2
2026-04-22T15:13:27Z,,,,,,,11,2
2026-04-22T15:13:33Z,,,,,,,11,2
2026-04-22T15:13:38Z,,,,,,,11,2
2026-04-22T15:13:44Z,,,,,,,11,2
2026-04-22T15:13:50Z,,,,,,,11,2
2026-04-22T15:13:56Z,,,,,,,11,2
2026-04-22T15:14:01Z,,,,,,,11,2
2026-04-22T15:14:07Z,,,,,,,11,2
2026-04-22T15:14:13Z,,,,,,,11,2
2026-04-22T15:14:18Z,,,,,,,11,2
2026-04-22T15:14:23Z,,,,,,,11,2
2026-04-22T15:14:29Z,,,,,,,11,2
2026-04-22T15:14:34Z,,,,,,,11,2
2026-04-22T15:14:40Z,,,,,,,11,2
2026-04-22T15:14:45Z,,,,,,,11,3
2026-04-22T15:14:51Z,,,,,,,11,2
2026-04-22T15:14:57Z,,,,,,,11,2
2026-04-22T15:15:03Z,,,,,,,11,2
2026-04-22T15:15:09Z,,,,,,,11,2
