ts,tomcat_busy,tomcat_current,hikari_active,hikari_pending,hikari_timeout,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-21T18:12:52Z,,,,,,,11,4
2026-04-21T18:15:36Z,,,,,,,11,2
2026-04-21T18:15:58Z,,,,,,,11,2
2026-04-21T18:16:06Z,,,,,,,11,3
2026-04-21T18:16:12Z,,,,,,,11,2
2026-04-21T18:16:19Z,,,,,,,11,3
2026-04-21T18:16:25Z,,,,,,,11,6
2026-04-21T18:16:32Z,,,,,,,11,5
2026-04-21T18:16:38Z,,,,,,,11,2
2026-04-21T18:16:45Z,,,,,,,11,4
2026-04-21T18:16:51Z,,,,,,,11,3
2026-04-21T18:17:00Z,,,,,,,11,7
2026-04-21T18:17:07Z,,,,,,,11,4
2026-04-21T18:17:14Z,,,,,,,11,2
2026-04-21T18:17:22Z,,,,,,,11,2
2026-04-21T18:17:29Z,,,,,,,11,5
2026-04-21T18:17:38Z,,,,,,,11,3
2026-04-21T18:17:47Z,,,,,,,11,3
2026-04-21T18:17:54Z,,,,,,,11,3
2026-04-21T18:18:00Z,,,,,,,11,6
2026-04-21T18:18:06Z,,,,,,,11,5
2026-04-21T18:18:14Z,,,,,,,11,4
2026-04-21T18:18:20Z,,,,,,,11,3
2026-04-21T18:18:27Z,,,,,,,11,3
2026-04-21T18:18:34Z,,,,,,,11,5
2026-04-21T18:18:41Z,,,,,,,11,3
2026-04-21T18:18:47Z,,,,,,,11,4
2026-04-21T18:18:54Z,,,,,,,11,5
2026-04-21T18:19:02Z,,,,,,,11,4
2026-04-21T18:19:10Z,,,,,,,11,3
2026-04-21T18:19:18Z,,,,,,,11,3
2026-04-21T18:19:25Z,,,,,,,11,2
2026-04-21T18:19:32Z,,,,,,,11,2
2026-04-21T18:19:38Z,,,,,,,11,2
2026-04-21T18:19:48Z,,,,,,,11,5
2026-04-21T18:20:29Z,,,,,,,11,5
2026-04-21T18:20:38Z,,,,,,,11,3
2026-04-21T18:20:48Z,,,,,,,11,5
2026-04-21T18:21:01Z,,,,,,,11,3
2026-04-21T18:21:16Z,,,,,,,11,2
2026-04-21T18:21:30Z,,,,,,,11,2
2026-04-21T18:21:40Z,,,,,,,11,3
2026-04-21T18:21:48Z,,,,,,,11,4
2026-04-21T18:21:57Z,,,,,,,11,3
2026-04-21T18:22:06Z,,,,,,,11,2
2026-04-21T18:22:14Z,,,,,,,11,6
2026-04-21T18:22:23Z,,,,,,,11,2
2026-04-21T18:22:33Z,,,,,,,11,2
2026-04-21T18:22:42Z,,,,,,,11,4
2026-04-21T18:22:51Z,,,,,,,11,5
2026-04-21T18:23:02Z,,,,,,,11,5
2026-04-21T18:23:11Z,,,,,,,11,5
2026-04-21T18:23:19Z,,,,,,,11,4
2026-04-21T18:23:27Z,,,,,,,11,4
2026-04-21T18:23:36Z,,,,,,,11,4
2026-04-21T18:23:44Z,,,,,,,11,3
2026-04-21T18:23:51Z,,,,,,,11,3
2026-04-21T18:23:58Z,,,,,,,11,2
2026-04-21T18:24:07Z,,,,,,,11,5
2026-04-21T18:24:13Z,,,,,,,11,4
2026-04-21T18:24:24Z,,,,,,,11,4
2026-04-21T18:24:32Z,,,,,,,11,3
2026-04-21T18:24:40Z,,,,,,,11,5
2026-04-21T18:24:50Z,,,,,,,11,5
2026-04-21T18:24:59Z,,,,,,,11,2
2026-04-21T18:25:09Z,,,,,,,11,3
2026-04-21T18:25:19Z,,,,,,,11,3
2026-04-21T18:25:30Z,,,,,,,11,3
2026-04-21T18:25:40Z,,,,,,,11,2
2026-04-21T18:25:48Z,,,,,,,11,2
2026-04-21T18:25:58Z,,,,,,,11,4
2026-04-21T18:26:09Z,,,,,,,11,4
2026-04-21T18:26:21Z,,,,,,,11,3
2026-04-21T18:26:28Z,,,,,,,11,4
2026-04-21T18:26:37Z,,,,,,,11,3
2026-04-21T18:26:45Z,,,,,,,11,2
2026-04-21T18:26:56Z,,,,,,,11,4
2026-04-21T18:27:03Z,,,,,,,11,6
2026-04-21T18:27:12Z,,,,,,,11,4
2026-04-21T18:27:22Z,,,,,,,11,5
2026-04-21T18:27:32Z,,,,,,,11,3
2026-04-21T18:27:41Z,,,,,,,11,4
2026-04-21T18:27:52Z,,,,,,,11,3
2026-04-21T18:28:03Z,,,,,,,11,2
2026-04-21T18:28:20Z,,,,,,,11,5
2026-04-21T18:28:37Z,,,,,,,11,2
2026-04-21T18:28:51Z,,,,,,,11,3
2026-04-21T18:29:20Z,,,,,,,11,5
2026-04-21T18:29:35Z,,,,,,,11,3
2026-04-21T18:29:46Z,,,,,,,11,5
2026-04-21T18:29:58Z,,,,,,,11,2
2026-04-21T18:30:09Z,,,,,,,11,2
2026-04-21T18:30:24Z,,,,,,,11,6
2026-04-21T18:30:41Z,,,,,,,11,5
2026-04-21T18:30:57Z,,,,,,,11,2
2026-04-21T18:31:11Z,,,,,,,11,4
2026-04-21T18:31:24Z,,,,,,,11,3
2026-04-21T18:31:38Z,,,,,,,11,4
2026-04-21T18:31:53Z,,,,,,,11,4
2026-04-21T18:32:04Z,,,,,,,11,4
2026-04-21T18:32:13Z,,,,,,,11,2
2026-04-21T18:32:24Z,,,,,,,11,2
2026-04-21T18:32:34Z,,,,,,,11,3
2026-04-21T18:32:43Z,,,,,,,11,2
2026-04-21T18:32:51Z,,,,,,,11,2
