ts,tomcat_busy,tomcat_current,hikari_active,hikari_pending,hikari_timeout,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-21T18:56:02Z,,,,,,,11,4
2026-04-21T18:56:19Z,,,,,,,11,3
2026-04-21T18:56:25Z,,,,,,,11,3
2026-04-21T18:56:31Z,,,,,,,11,2
2026-04-21T18:56:37Z,,,,,,,11,2
2026-04-21T18:56:43Z,,,,,,,11,4
2026-04-21T18:56:51Z,,,,,,,11,3
2026-04-21T18:56:57Z,,,,,,,11,3
2026-04-21T18:57:03Z,,,,,,,11,5
2026-04-21T18:57:09Z,,,,,,,11,3
2026-04-21T18:57:15Z,,,,,,,11,2
2026-04-21T18:57:21Z,,,,,,,11,3
2026-04-21T18:57:27Z,,,,,,,11,3
2026-04-21T18:57:33Z,,,,,,,11,4
2026-04-21T18:57:39Z,,,,,,,11,2
2026-04-21T18:57:45Z,,,,,,,11,4
2026-04-21T18:57:51Z,,,,,,,11,3
2026-04-21T18:57:58Z,,,,,,,11,4
2026-04-21T18:58:04Z,,,,,,,11,4
2026-04-21T18:58:10Z,,,,,,,11,4
2026-04-21T18:58:17Z,,,,,,,11,2
2026-04-21T18:58:23Z,,,,,,,11,7
2026-04-21T18:58:29Z,,,,,,,11,4
2026-04-21T18:58:36Z,,,,,,,11,3
2026-04-21T18:58:43Z,,,,,,,11,3
2026-04-21T18:58:49Z,,,,,,,11,2
2026-04-21T18:58:55Z,,,,,,,11,4
2026-04-21T18:59:00Z,,,,,,,11,5
2026-04-21T18:59:07Z,,,,,,,11,3
2026-04-21T18:59:12Z,,,,,,,11,4
2026-04-21T18:59:18Z,,,,,,,11,4
2026-04-21T18:59:24Z,,,,,,,11,3
2026-04-21T18:59:31Z,,,,,,,11,3
2026-04-21T18:59:37Z,,,,,,,11,7
2026-04-21T18:59:43Z,,,,,,,11,5
2026-04-21T19:00:07Z,,,,,,,11,2
2026-04-21T19:00:14Z,,,,,,,11,2
2026-04-21T19:00:21Z,,,,,,,11,3
2026-04-21T19:00:28Z,,,,,,,11,3
2026-04-21T19:00:35Z,,,,,,,11,4
2026-04-21T19:00:43Z,,,,,,,11,3
2026-04-21T19:00:49Z,,,,,,,11,2
2026-04-21T19:00:57Z,,,,,,,11,2
2026-04-21T19:01:04Z,,,,,,,11,2
2026-04-21T19:01:10Z,,,,,,,11,3
2026-04-21T19:01:15Z,,,,,,,11,2
2026-04-21T19:01:21Z,,,,,,,11,5
2026-04-21T19:01:27Z,,,,,,,11,3
2026-04-21T19:01:34Z,,,,,,,11,5
2026-04-21T19:01:40Z,,,,,,,11,5
2026-04-21T19:01:48Z,,,,,,,11,4
2026-04-21T19:01:56Z,,,,,,,11,2
2026-04-21T19:02:02Z,,,,,,,11,2
2026-04-21T19:02:09Z,,,,,,,11,2
2026-04-21T19:02:15Z,,,,,,,11,2
2026-04-21T19:02:22Z,,,,,,,11,4
2026-04-21T19:02:28Z,,,,,,,11,4
2026-04-21T19:02:35Z,,,,,,,11,5
2026-04-21T19:02:41Z,,,,,,,11,3
2026-04-21T19:02:48Z,,,,,,,11,4
2026-04-21T19:02:54Z,,,,,,,11,3
2026-04-21T19:03:00Z,,,,,,,11,5
2026-04-21T19:03:07Z,,,,,,,11,2
2026-04-21T19:03:14Z,,,,,,,11,2
2026-04-21T19:03:21Z,,,,,,,11,5
2026-04-21T19:03:27Z,,,,,,,11,3
2026-04-21T19:03:33Z,,,,,,,11,4
2026-04-21T19:03:39Z,,,,,,,11,4
2026-04-21T19:03:46Z,,,,,,,11,3
2026-04-21T19:03:52Z,,,,,,,11,4
2026-04-21T19:04:01Z,,,,,,,11,2
2026-04-21T19:04:07Z,,,,,,,11,3
2026-04-21T19:04:14Z,,,,,,,11,2
2026-04-21T19:04:21Z,,,,,,,11,2
2026-04-21T19:04:28Z,,,,,,,11,3
2026-04-21T19:04:35Z,,,,,,,11,2
2026-04-21T19:04:42Z,,,,,,,11,3
2026-04-21T19:04:50Z,,,,,,,11,3
2026-04-21T19:04:56Z,,,,,,,11,5
2026-04-21T19:05:03Z,,,,,,,11,5
2026-04-21T19:05:10Z,,,,,,,11,2
2026-04-21T19:05:41Z,,,,,,,11,4
2026-04-21T19:05:49Z,,,,,,,11,4
2026-04-21T19:05:56Z,,,,,,,11,4
2026-04-21T19:06:03Z,,,,,,,11,4
2026-04-21T19:06:10Z,,,,,,,11,5
2026-04-21T19:06:18Z,,,,,,,11,4
2026-04-21T19:06:25Z,,,,,,,11,4
2026-04-21T19:06:34Z,,,,,,,11,4
2026-04-21T19:06:42Z,,,,,,,11,4
2026-04-21T19:06:52Z,,,,,,,11,3
2026-04-21T19:07:00Z,,,,,,,11,3
2026-04-21T19:07:09Z,,,,,,,11,4
2026-04-21T19:07:17Z,,,,,,,11,4
2026-04-21T19:07:23Z,,,,,,,11,2
2026-04-21T19:07:30Z,,,,,,,11,4
2026-04-21T19:07:37Z,,,,,,,11,2
2026-04-21T19:07:44Z,,,,,,,11,3
2026-04-21T19:07:51Z,,,,,,,11,2
2026-04-21T19:07:57Z,,,,,,,11,2
2026-04-21T19:08:04Z,,,,,,,11,2
2026-04-21T19:08:11Z,,,,,,,11,5
2026-04-21T19:08:18Z,,,,,,,11,3
2026-04-21T19:08:25Z,,,,,,,11,3
2026-04-21T19:08:32Z,,,,,,,11,3
2026-04-21T19:08:42Z,,,,,,,11,2
2026-04-21T19:08:50Z,,,,,,,11,3
2026-04-21T19:08:59Z,,,,,,,11,2
2026-04-21T19:09:06Z,,,,,,,11,6
2026-04-21T19:09:14Z,,,,,,,11,2
2026-04-21T19:09:23Z,,,,,,,11,5
2026-04-21T19:09:32Z,,,,,,,11,6
2026-04-21T19:09:41Z,,,,,,,11,4
2026-04-21T19:09:49Z,,,,,,,11,2
2026-04-21T19:09:56Z,,,,,,,11,4
2026-04-21T19:10:02Z,,,,,,,11,4
2026-04-21T19:10:09Z,,,,,,,11,4
2026-04-21T19:10:15Z,,,,,,,11,6
2026-04-21T19:10:22Z,,,,,,,11,2
2026-04-21T19:10:29Z,,,,,,,11,2
2026-04-21T19:10:37Z,,,,,,,11,4
2026-04-21T19:10:44Z,,,,,,,11,2
2026-04-21T19:10:52Z,,,,,,,11,2
2026-04-21T19:10:59Z,,,,,,,11,2
2026-04-21T19:11:05Z,,,,,,,11,2
2026-04-21T19:11:11Z,,,,,,,11,4
2026-04-21T19:11:21Z,,,,,,,11,2
2026-04-21T19:11:29Z,,,,,,,11,6
2026-04-21T19:11:36Z,,,,,,,11,3
2026-04-21T19:11:42Z,,,,,,,11,4
2026-04-21T19:11:48Z,,,,,,,11,3
2026-04-21T19:11:56Z,,,,,,,11,4
2026-04-21T19:12:04Z,,,,,,,11,2
2026-04-21T19:12:12Z,,,,,,,11,2
2026-04-21T19:12:21Z,,,,,,,11,2
2026-04-21T19:12:28Z,,,,,,,11,2
2026-04-21T19:12:36Z,,,,,,,11,3
2026-04-21T19:12:44Z,,,,,,,11,3
2026-04-21T19:12:52Z,,,,,,,11,3
2026-04-21T19:12:59Z,,,,,,,11,2
2026-04-21T19:13:07Z,,,,,,,11,7
2026-04-21T19:13:14Z,,,,,,,11,2
2026-04-21T19:13:22Z,,,,,,,11,5
2026-04-21T19:13:30Z,,,,,,,11,3
2026-04-21T19:13:37Z,,,,,,,11,2
2026-04-21T19:13:45Z,,,,,,,11,2
2026-04-21T19:13:52Z,,,,,,,11,3
2026-04-21T19:14:00Z,,,,,,,11,2
2026-04-21T19:14:07Z,,,,,,,11,4
2026-04-21T19:14:16Z,,,,,,,11,5
2026-04-21T19:14:24Z,,,,,,,11,4
2026-04-21T19:14:32Z,,,,,,,11,3
2026-04-21T19:14:39Z,,,,,,,11,3
